r,w
5.764.774.566,57.815.475
5.771.071.213,5.659.116.714
5.780.907.521,5.539.456.706
5.794.219.312,5.422.599.306
5.810.947.243,5.308.567.989
5.831.036.618,5.197.378.632
5.854.437.191,5.089.040.226
5.881.102.975,4.983.555.546
5.910.992.047,4.880.921.786
594.406.636,4.781.131.146
5.980.291.546,4.684.171.393
601.963.674,4.590.026.376
6.062.074.385,4.498.676.514
6.107.580.058,4.410.099.247
6.156.132.289,4.324.269.455
6.207.712.383,4.241.159.857
6.262.304.252,4.160.741.367
6.319.894.238,408.298.344
6.380.470.948,4.007.854.386
6.444.025.084,3.935.321.659
6.510.549.279,3.865.352.133
6.580.037.929,3.797.912.354
665.248.703,3.732.968.773
672.789.401,3.670.487.966
680.625.756,3.610.436.838
6.887.577.472,3.552.782.811
6.971.854.462,3.497.494.005
7.059.089.999,3.444.539.401
7.149.286.131,3.393.888.999
7.242.445.297,3.345.513.967
7.338.570.147,3.299.386.778
7.437.663.345,3.255.481.345
7.539.727.374,321.377.315
7.644.764.328,3.174.239.359
7.752.775.699,313.685.895
786.376.215,3.101.612.822
7.977.723.287,3.068.483.908
8.094.657.408,3.037.457.291
821.456.125,3.008.520.307
8.337.429.716,2.981.662.663
8.463.255.593,2.956.876.544
8.592.029.251,2.934.156.727
8.723.738.326,2.913.500.693
8.858.367.388,2.894.908.746
8.995.897.583,2.878.384.135
9.136.306.266,2.863.933.173
9.279.566.601,2.851.565.367
9.425.647.146,2.841.293.553
9.574.511.408,2.833.134.027
9.726.117.379,2.827.106.696
9.880.417.043,2.823.235.219
1.003.735.585,2.821.547.165
1.019.687.216,2.822.074.172
1.035.889.668,2.824.852.111
1.052.335.182,2.829.921.261
1.069.015.109,2.837.326.483
1.085.919.838,2.847.117.403
1.103.038.727,2.859.348.596
1.120.360.027,2.874.079.778
1.137.870.808,2.891.375.994
115.555.687,2.911.307.811
1.173.402.667,2.933.951.508
1.191.391.215,2.959.389.259
1.209.503.999,2.987.709.314
1.227.720.888,3.019.006.166
124.602.003,3.053.380.705
1.264.377.763,3.090.940.345
1.282.768.515,313.179.914
1.301.164.703,3.176.077.849
1.319.536.643,3.223.903.977
1.337.852.445,3.275.411.749
135.607.793,3.330.742.043
1.374.176.539,3.390.042.229
1.392.109.253,3.453.465.943
1.409.834.521,352.117.274
1.427.308.202,3.593.327.647
1.444.483.518,3.670.100.566
1.461.311.025,3.751.665.527
1.477.738.604,383.819.976
1.493.711.483,392.988.257
1.509.172.274,4.026.893.977
1.524.061.058,4.129.413.115
1.538.315.501,4.237.616.346
1.551.871.012,4.351.675.074
156.466.095,447.175.324
157.661.689,4.598.004.462
1.587.668.939,4.730.568.814
1.597.746.122,4.869.569.232
1.606.776.829,5.015.107.538
1.614.689.341,516.726.009
1.621.412.422,5.326.073.075
1.626.875.989,5.491.557.473
1.631.011.854,5.663.683.749
1.633.754.533,5.842.376.329
1.635.042.125,6.027.507.953
1.634.817.242,6.218.894.025
1.633.027.983,6.416.287.083
1.629.628.941,6.619.371.546
1.624.582.212,6.827.758.941
1.617.858.399,704.098.378
1.609.437.578,7.258.500.329
1.599.310.189,7.479.680.471
1.587.477.849,7.703.812.907
1.573.954.022,7.930.103.879
1.558.764.549,815.767.963
1.541.947.976,8.385.590.739
1.523.555.692,8.612.818.435
150.365.182,8.838.282.941
1.482.312.873,9.060.853.806
1.459.627.158,9.279.362.127
1.435.693.928,949.261.447
1.410.622.301,9.699.408.194
1.384.529.963,989.854.786
1.357.541.681,1.008.886.227
1.329.787.676,1.026.922.171
1.301.401.884,1.043.855.485
1.272.520.166,1.059.586.485
1.243.278.513,107.402.442
1.213.811.294,1.087.088.773
1.184.249.601,1.098.710.366
1.154.719.724,1.108.832.213
1.125.341.794,1.117.410.124
1.096.228.632,1.124.413.033
1.067.484.803,112.982.307
1.039.205.899,1.133.635.364
1.011.478.048,1.135.857.624
9.843.776.372,1.136.509.495
9.579.712.397,1.135.621.747
9.323.157.283,1.133.235.308
907.458.545,1.129.400.198
8.834.381.084,1.124.174.381
8.602.843.272,1.117.622.586
8.380.191.973,1.109.815.117
8.166.574.545,110.082.668
7.962.072.625,1.090.735.261
7.766.709.135,1.079.621.065
758.045.527,1.067.565.526
7.403.237.292,1.054.650.413
7.234.943.047,1.040.957.029
7.075.428.098,1.026.565.501
6.924.521.421,1.011.554.178
6.782.030.635,9.959.991.123
6.647.746.729,9.799.736.391
6.521.448.304,9.635.480.399
6.402.905.316,9.467.892.816
6.291.882.369,9.297.608.281
6.188.141.552,9.125.225.156
6.091.444.874,8.951.304.823
6.001.556.321,8.776.371.481
5.918.243.572,8.600.912.345
5.841.279.408,8.425.378.199
5.770.442.849,825.018.423
5.705.520.052,8.075.711.102
5.646.304.995,7.902.306.205
559.259.999,7.730.285.049
554.421.603,7.559.932.757
5.500.973.009,7.391.505.621
5.462.699.834,7.225.232.705
5.429.234.442,7.061.317.457
5.400.423.735,6.899.939.324
5.376.123.467,6.741.255.338
5.356.198.066,6.585.401.676
5.340.520.429,6.432.495.171
5.328.971.683,6.282.634.772
5.321.440.919,6.135.902.947
5.317.824.922,5.992.367.025
5.318.027.876,5.852.080.467
5.321.961.077,5.715.084.079
5.329.542.634,558.140.715
5.340.697.176,545.106.853
535.535.556,5.324.077.635
5.373.454.583,5.200.435.397
5.394.936.703,5.080.135.144
5.419.749.767,4.963.163.425
5.447.846.741,4.849.500.772
5.479.185.458,4.739.122.419
5.513.728.368,4.631.998.951
5.551.442.299,4.528.096.924
5.592.298.224,4.427.379.421
5.636.271.041,4.329.806.581
5.683.339.355,4.235.336.069
5.733.485.275,4.143.923.526
578.669.421,4.055.522.972
584.295.468,397.008.718
